三七,破故纸,枸杞,西洋参,骨碎补,黄耆,木瓜,川芎
破故纸,薏仁,虎骨,骨碎补,功劳叶,生地,川芎,五加皮
三七,破故纸,枸杞,西洋参,骨碎补,黄耆,木瓜,川芎
牛膝,蛇床子,麦冬,木鳖子,鹿茸,五味子,生地,男子头发
牛膝,巴戟,枸杞,肉苁蓉,五味子,茴香,菖蒲,远志
苍术,甘草,陈皮,厚朴
牛膝,芍药,杜仲,川芎,羌活,地黄,白术,黑附子
牛膝,芍药,黄耆,杜仲,川芎,白术,地黄,黑附子
牛膝,芍药,黄耆,杜仲,川芎,白术,羌活,地黄
牛膝,巴戟,菟丝子,萆薢,鹿茸,芍药,石斛,松柏
五灵脂,金箔200箔,细香墨,麝香净肉,没药,川乌,白僵蚕,白蒺藜
小草,川椒,芍药,黄连,杏仁,远志,厚朴,当归
大朱砂
面曲,糯米5斗,地黄
牛膝,五加皮,地黄
覆盆子,菟丝子,地龙,白酒,木鳖子,川椒,骨碎补,肉苁蓉
覆盆子,牛膝,地龙,川椒,萆薢,骨碎补,木鳖子,肉苁蓉
牛膝,萆薢,黄耆,芍药,川芎,杜仲,防己,白术
乌头,黑附子
牛膝,菟丝子,枸杞,破故纸,肉苁蓉,黄耆,五味子,芍药
麦冬,龟版,芍药,天冬,白术,地黄,地黄,当归
牛膝,菟丝子,枸杞,破故纸,苁蓉,五味子,芍药,败龟版
磁石,硇砂
牛膝,何首乌
牛膝,地骨皮,萆薢,生地,枣仁,海桐皮,羌活,桂枝
牛膝,肉苁蓉,木瓜,虎胫骨,没药,天麻,乳香,黑附子
牛膝,薏仁,萆薢,木瓜,五加皮,杜仲,白术,防风
牛膝,木瓜,川芎,羌活,黑附子
覆盆子,枸杞,胡桃仁,远志,杜仲,地肤子,柏子仁
牛膝,萆薢,地骨皮,苍术,黄耆,半夏,菖蒲,益智
覆盆子,菟丝子,淫羊藿,金樱子,鹿角胶,狗脊,锁阳,枣仁
防己10,骨碎补10,地黄21,黑豆13,2,2,金樱子13,7
枸杞,地黄,山药,菊花
枸杞
覆盆子,菟丝子,枸杞,肉苁蓉,五味子,薯蓣,石斛,茱萸
黄雌鸡,粳米,杏仁,地黄
牛膝,麦冬,枸杞,萆薢,苍术,茴香,木瓜,独活
蒲公英,解盐,香附
牛膝,苍术,虎胫骨,防己,归梢,败龟板,黄柏
曲,糯米,虎胫骨
牛膝,萆薢,枸杞,淫羊藿,薏仁,苍术,破故纸,虎骨
牛膝,萆薢,肉苁蓉,虎骨,远志,枣仁,石斛,肉桂
牛膝,薏仁,萆薢,仙灵脾,虎胫骨,地黄
牛膝,萆薢,枸杞,薏仁,苍术,破故纸,虎骨,川芎
牛膝,狗脊,川巴戟,杜仲,石斛,芎,虎胫骨,茵芋叶
威灵仙,地龙,川椒,萆薢,茴香,赤小豆,防风,川乌
地龙,萆薢,川椒,茴香,川乌,陈皮,川楝,旋覆花
牛膝,茴香,石斛,槟榔,海桐皮,芎藭,楝实,木香
牛膝,菟丝子,龟版,枸杞,破故纸,胡桃肉,鹿角胶,杜仲
威灵仙,苍术,一十,草乌,狗脊,陈皮,没药,香附
威灵仙,苍术,草乌,狗脊,陈皮,没药,香附
五灵脂,木鳖子,草乌,好墨,白胶香,乌蛇,川乌,白花蛇
牛膝,菖蒲,何首乌,天南星
牛膝,何首乌
牛膝,何首乌
牛膝,菖蒲,何首乌,天南星
牛膝,芍药,地黄,何首乌
牛膝,黑豆,枣仁,何首乌
鸡血藤
地龙,川椒,马蔺子,苍术,赤小豆,茴香,巴戟天,青盐
三七,马钱子霜,捆仙绳,18厘米,见血清,金刚莲,五加皮
巴戟,牵牛头末,广荗,黄连,沉香,槟榔,枳壳,陈皮
枸杞,地黄,菊花
五灵脂,骨碎补,白芷,草乌,山桂皮,雄黑豆,石南藤,荆芥
五灵脂,黑牵牛,破故纸,茴香,橘核,草,棠球子,庵
巴戟,川椒,茴香,川楝,山药
牛膝,巴戟,菟丝子,川椒,磁石,鹿茸,肉苁蓉,丹参
牛膝,白芷,杏仁,白蔹,白胶香,沥青,磈润,香油半盏
黄榔刺树根,糯米饭1盏,小雄鸡
牛膝,骨碎补,虎骨,草乌,独活,五加皮,杜仲,透骨草
菟丝子,萆薢,肉苁蓉,巴戟天,木瓜,全蝎,杜仲,精制马钱子
牛膝,菟丝子,鹿茸,五味子,苁蓉,木瓜干,天麻,地黄
牛膝,菟丝子,拣参,枸杞,肉苁蓉,五味子,茴香,川巴戟
枸杞,苍术,茴香,仙茅,茯苓,柏子仁,地黄,地黄
牛膝,菟丝子,龟版,枸杞,木瓜,独活,枣仁,锁阳
牛膝,陈皮,锁阳,白芍,地黄,龟甲,豹骨,羊肉
川椒,栝楼,白术,茯苓,知母,防风,黑附子,桂心
巴戟,蛇床子,鹿茸,肉苁蓉,茴香,远志,车前子,续断
牛膝,淫羊藿,鸡血藤,女贞子,肉苁蓉,骨碎补,狗脊,莱菔
川柏皮,苍术
地龙,萆薢,鹿茸,狗脊,茴香,青盐,杜仲,砂仁
牛膝,鹿角
牛膝,鹿茸,肉苁蓉,五味子,木瓜,杜仲,虎胫骨,天麻
牛膝,菟丝子,磁石,鹿茸,五味子,沉香,川巴戟,官桂
鹿茸,侧柏叶,黄耆,地黄,当归,厚朴,黑附子,续断
牛膝,鹿茸,巴戟天,远志,杜仲,石斛,茱萸
牛膝,破故纸,鹿茸,苁蓉,地黄,桂,山药,黑附子
覆盆子,菟丝子,巴戟,蛇床子,萆薢,鹿茸,肉苁蓉,黄耆
牛膝,萆薢,胡桃肉,杜仲,故纸,木爪,续断
菟丝子,丹参,雄雀儿,晚蚕沙半,远志,天雄,阿魏,硼砂
覆盆子,牛膝,蛇床子,菟丝子,山芋,枸杞,萆薢,鹿茸
破故纸,黑豆,骨碎补,青盐,白蒺藜,白蒺藜
牛膝,木鳖子,骨碎补,芍药,狗脊,草乌,川芎,乌豆1斗
牛膝,萆薢,薏仁,苍术,黄耆,木瓜,槟榔,石斛
牛膝,巴戟,萆薢,青盐,茴香,木瓜,狗脊,海桐皮
牛膝,川椒,肉苁蓉,巴戟天,青盐
威灵仙,草乌,独活,寄生,老鹳草,红花,续断
覆盆子,牛膝,枸杞,川椒,青盐,肉苁蓉,黄耆,破故纸
威灵仙,五灵脂,茴香,草乌,牵牛子,防风,陈皮,川楝
威灵仙,五灵脂,萆薢,茴香,草乌,牵牛子,防风,陈皮
牛膝,菟丝子,金樱子,女贞子,破故纸,桑叶,豨莶草,桑椹
牛膝,木瓜,全蝎,枣仁,没药,天麻,羌活,地黄
牛膝,菟丝子,枸杞,肉苁蓉,巴戟天,芍药,川芎,远志
牛膝,苁蓉,木瓜,虎骨,天麻,黑附子
牛膝,枸杞,萆薢,虎胫骨,防风,松节,炙鳖甲,干茄根
覆盆子,牛膝,菟丝子,薏仁,肉苁蓉,黄耆,五味子,沉香
牛膝,丹参,五加皮,肉桂,白术,清酒,生姜,桑白皮
天仙藤,青蒿子,茴香,苍术,芍药,白芷,柴胡,干葛
覆盆子,菟丝子,白酒,五味子,枸妃子,车前子
覆盆子,蛇床子,川椒,卷柏,菖蒲,白芷,远志,川芎
牛膝,白酒,菟丝子,金樱子,破故纸,仙灵脾,巴戟天,茴香
白酒,仙灵脾
薏仁
羊骨左右,细盐,生姜葱白,粳米
牛膝,蛇床子,巴戟,菟丝子,木鳖子,鹿茸,破故纸,肉苁蓉
牛膝,菟丝子,女贞子,桑叶,豨莶草,生地,杜仲,忍冬藤
覆盆子,牛膝,菟丝子,枸杞,巴戟天,地骨皮,苁蓉,菖蒲
白酒,莲子蕊,没石子,五加皮,地黄,地黄,槐角子
